epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9865,1.65259,2.73493,1.91261,0.75273,0.31696,0.61564,0.28456,1.76588,2.25526,2.35746,0.000411458,0.000411458,0.000411458
2,34.7317,1.5265,1.69885,1.78043,0.45004,0.5613,0.55936,0.29597,1.71311,1.694,2.07983,0.000819927,0.000819927,0.000819927
3,48.043,1.49225,1.56878,1.78058,0.53425,0.50575,0.61534,0.34455,1.70009,1.87682,2.27568,0.00122014,0.00122014,0.00122014
4,62.7556,1.4394,1.46341,1.72082,0.63194,0.69686,0.68282,0.35652,1.69811,1.67781,2.14893,0.00121287,0.00121287,0.00121287
5,76.0528,1.38531,1.33358,1.69401,0.62828,0.69607,0.74466,0.40757,1.54357,1.27667,1.97878,0.0012005,0.0012005,0.0012005
6,89.3485,1.35837,1.23367,1.66257,0.72468,0.67125,0.7301,0.36732,1.818,1.23056,2.17783,0.00118812,0.00118812,0.00118812
7,102.652,1.31063,1.13756,1.61874,0.82852,0.78101,0.82227,0.4975,1.42725,0.96626,1.82331,0.00117575,0.00117575,0.00117575
8,115.975,1.28439,1.09306,1.60301,0.67014,0.81605,0.83719,0.50488,1.35534,0.9553,1.7716,0.00116337,0.00116337,0.00116337
9,129.289,1.26062,1.04658,1.58831,0.87052,0.73528,0.84028,0.48895,1.36706,0.92839,1.74626,0.001151,0.001151,0.001151
10,142.686,1.2538,1.01253,1.57376,0.81119,0.81667,0.87285,0.52544,1.43674,0.88546,1.79715,0.00113863,0.00113863,0.00113863
11,155.944,1.22889,0.99903,1.56291,0.68256,0.79167,0.81984,0.50277,1.37742,0.86987,1.74952,0.00112625,0.00112625,0.00112625
12,169.306,1.20577,0.95456,1.53812,0.78152,0.79184,0.8586,0.52298,1.31549,0.92006,1.71207,0.00111388,0.00111388,0.00111388
13,182.589,1.20617,0.95261,1.54416,0.88233,0.88923,0.93999,0.51165,1.34229,0.88315,1.72652,0.0011015,0.0011015,0.0011015
14,195.868,1.16928,0.89994,1.50458,0.85786,0.94426,0.94607,0.59681,1.22488,0.69302,1.57652,0.00108913,0.00108913,0.00108913
15,209.383,1.1587,0.87426,1.50252,0.91061,0.89601,0.94049,0.60482,1.27478,0.75874,1.69607,0.00107675,0.00107675,0.00107675
16,222.886,1.14007,0.86511,1.48493,0.89906,0.86206,0.91309,0.57954,1.2834,0.73682,1.65576,0.00106437,0.00106437,0.00106437
17,236.933,1.12382,0.84629,1.48182,0.81442,0.90458,0.93591,0.54031,1.3554,0.81408,1.70406,0.001052,0.001052,0.001052
18,250.818,1.12573,0.81966,1.47052,0.8823,0.80833,0.90271,0.56081,1.28256,0.72435,1.71723,0.00103962,0.00103962,0.00103962
19,264.093,1.1002,0.81898,1.46645,0.84022,0.93333,0.9396,0.60228,1.24127,0.72513,1.63819,0.00102725,0.00102725,0.00102725
20,277.408,1.10159,0.80681,1.46237,0.9025,0.89167,0.95567,0.62967,1.125,0.63221,1.53481,0.00101488,0.00101488,0.00101488
21,291.261,1.0886,0.78619,1.4549,0.83274,0.925,0.93724,0.57014,1.32363,0.68654,1.70815,0.0010025,0.0010025,0.0010025
22,304.987,1.07557,0.80061,1.44493,0.85668,0.93526,0.94144,0.5989,1.20833,0.66105,1.57792,0.000990125,0.000990125,0.000990125
23,318.668,1.06181,0.77472,1.43304,0.8687,0.93378,0.93924,0.61151,1.19755,0.66849,1.57226,0.00097775,0.00097775,0.00097775
24,332.185,1.06646,0.75957,1.43169,0.95956,0.92751,0.97684,0.63247,1.20266,0.63656,1.53967,0.000965375,0.000965375,0.000965375
25,345.612,1.06461,0.74191,1.42487,0.93955,0.91413,0.96402,0.63092,1.11643,0.61467,1.46786,0.000953,0.000953,0.000953
26,359.139,1.03771,0.70808,1.3987,0.95853,0.95563,0.96771,0.63342,1.1501,0.60709,1.58306,0.000940625,0.000940625,0.000940625
27,372.747,1.04,0.71366,1.39972,0.84922,0.94859,0.95938,0.62607,1.13604,0.63476,1.53991,0.00092825,0.00092825,0.00092825
28,386.162,1.02284,0.70805,1.39278,0.93746,0.94996,0.98014,0.64043,1.19295,0.5887,1.60625,0.000915875,0.000915875,0.000915875
29,399.618,1.01811,0.69365,1.39693,0.86484,0.87435,0.9101,0.59051,1.17086,0.60687,1.56029,0.0009035,0.0009035,0.0009035
